LOC_ID,site,land_cover,temp,temp_seas,land_temp,precip,precip_seas,water_dist,WDPA,closed_prop,open_prop,other_prop,ID.x,hum_pop,log_hum_pop,ID.y,slope,rough_range,ID,clay
KLKE_01,KLKE,11,18.13333321,65.58594513,33.7190361,786,68.07805634,3394.311279,6,0.117065128,0.873295707,0.009639165,1,1676,7.424761762,1,3.649117963,4.927027624,1,23.77586207
KLKE_02,KLKE,11,17.76250076,64.42489624,33.98899841,780,68.31178284,2452.531982,6,0,0.999365744,0.000634256,2,1493,7.309212366,2,6.357997902,8.570117949,2,24.0877193
KLKE_04,KLKE,11,17.65833282,62.77061844,33.79444122,762,66.28205872,796.8540649,6,0.013666054,0.97970702,0.006626926,3,1262,7.141245122,3,3.828198352,5.150081009,3,24.72413793
KLKE_05,KLKE,11,17.56666756,64.07855225,33.88421249,773,66.70122528,1915.974243,6,0.021562659,0.973712582,0.004724759,4,1189,7.081708586,4,5.402061077,7.259315709,4,24.56896552
KLKE_06,KLKE,11,17.95000076,65.71287537,33.4051857,776,66.93057251,851.0404663,6,0.051790302,0.931686277,0.016523421,5,1426,7.263329617,5,3.139186808,4.264039514,5,26.39655172
KLKE_07,KLKE,11,17.10416603,64.85852814,32.50891495,785,66.92456818,1165.867188,6,0.044233757,0.949107398,0.006658845,6,584,6.371611847,6,6.727179137,9.174378227,6,24.74137931
KLKE_08,KLKE,11,17.85000038,65.40086365,33.17926407,795,67.40721893,2431.710693,4,0.009576965,0.989566817,0.000856219,7,613,6.419994928,7,2.801708132,3.711894375,7,31.26315789
KLKE_09,KLKE,11,16.80416679,63.44139099,31.97633171,796,66.95707703,4824.762695,6,0.295167734,0.693227218,0.011605048,8,589,6.380122537,8,8.90844191,12.14438747,8,29.50877193
KLKE_10,KLKE,11,17.37916756,67.36800385,31.85732079,756,60.9757309,1058.834351,4,0.049437133,0.939083558,0.011479309,9,608,6.411818268,9,4.467512456,6.041776516,9,28.45614035
KLKE_11,KLKE,11,17.32500076,64.29690552,31.429142,777,63.89190674,5352.878906,4,0.005042337,0.993276885,0.001680779,10,463,6.139884552,10,6.110527784,8.285631296,10,29.79310345
KLKE_12,KLKE,11,16.97916603,64.15386963,32.32260895,781,62.42406845,4021.757813,6,0,1,0,11,541,6.295266001,11,6.190743003,8.586447872,11,28.63793103
KLKE_13,KLKE,11,17.15833282,66.70263672,31.42490387,861,73.48519135,302.9421387,4,0.167184626,0.816325236,0.016490138,12,1215,7.103322063,12,3.450812446,4.577229485,12,35.86206897
KLKE_14,KLKE,11,17.14583397,66.14234924,31.53302193,765,61.18398285,2624.501221,4,0.005613523,0.992325013,0.002061463,13,378,5.937536205,13,6.146585836,8.334488966,13,27.82758621
KLKE_15,KLKE,11,19.94583321,72.56525421,34.56412125,1061,95.23500061,5042.208008,4,0,1,0,14,2850,7.955425089,14,11.03640836,15.31266363,14,36.63793103
KLKE_16,KLKE,11,17.13750076,67.62613678,32.62181091,862,70.40202332,498.033783,4,0.005295535,0.978151953,0.016552511,15,1465,7.290292882,15,3.341140082,4.495316495,15,38.74137931
KLKE_17,KLKE,11,16.78750038,63.57260513,30.29641151,761,60.81758118,3765.675537,4,0.108000127,0.879030979,0.012968894,16,550,6.311734809,16,8.885528865,12.06655979,16,30.66071429
KLKE_18,KLKE,11,19.15833282,72.92067719,33.93810272,1053,92.15812683,3480.896484,4,0.002886873,0.996066239,0.001046888,17,4496,8.411165787,17,9.287048654,13.04691363,17,36.91071429
KLKE_19,KLKE,11,16.95000076,63.92469025,31.97229385,847,72.23472595,2271.929443,4,0.116632313,0.873188521,0.010179166,18,3784,8.238801166,18,8.504636273,11.94559979,18,37.86206897
KLKE_20,KLKE,11,18.96666718,73.8959198,34.70103455,1131,95.29612732,5437.470703,4,0,1,0,19,7150,8.875007486,19,5.72278581,7.798905897,19,47
KLKE_21,KLKE,11,18.46249962,70.90725708,33.54861069,996,86.9781189,2918.070068,4,0.031266846,0.960520057,0.008213097,20,4112,8.321907968,20,8.059769921,10.86759475,20,32.43636364
KLKE_22,KLKE,11,16.76250076,68.09502411,31.38495255,836,62.30604553,199.2135162,4,0.001712383,0.979007452,0.019280165,21,797,6.682108597,21,4.213833753,5.522409186,21,35.36206897
KLKE_23,KLKE,11,19.31666756,75.77879333,34.92928314,1176,97.65787506,9403.347656,4,0,1,0,22,15236,9.631481959,22,7.079680928,9.748318075,22,41.19298246
KLKE_24,KLKE,11,16.82916641,68.03938293,29.24651527,752,59.68335724,3905.041992,4,0.051449597,0.936560299,0.011990103,23,448,6.107022888,23,4.050150808,5.499665885,23,28.85964912
KLKE_25,KLKE,11,16.64999962,68.45702362,30.1053009,813,60.88947678,348.6236572,4,0.08308229,0.891771048,0.025146662,24,800,6.685860947,24,4.015254347,5.405483082,24,33.31481481
KLKE_26,KLKE,11,16.79583359,69.52627563,30.53703308,764,59.85276413,2032.807617,4,0.137442111,0.83905348,0.023504409,25,356,5.877735782,25,5.775591412,8.110403675,25,29.10344828
KLKE_27,KLKE,5,16.93333435,67.8009491,31.8780098,873,67.3343277,498.033783,4,0.1018266,0.842804592,0.055368808,26,3365,8.121480375,26,3.482200601,4.681008079,26,38.05263158
KLKE_28,KLKE,11,18.91250038,74.92798615,34.722332,1137,95.45935822,4571.342285,4,0.001426805,0.997621992,0.000951203,27,9499,9.159047078,27,4.39597416,5.980841909,27,43.96551724
KLKE_29,KLKE,11,18.44583321,72.59659576,34.02990723,1058,89.63015747,1942.331787,4,0.307458143,0.6615931,0.030948757,28,5293,8.574329383,28,2.42056238,3.16800324,28,40.24137931
KLKE_30,KLKE,11,17.95416641,70.91794586,32.6867485,998,82.89294434,914.2684937,4,0.052733384,0.940385591,0.006881025,29,4680,8.451267041,29,7.110850514,9.554599085,29,32.53448276
KLKE_31,KLKE,11,17.20833397,68.81576538,31.28208351,914,73.38155365,538.7059326,4,0.055964234,0.877481134,0.066554633,30,4979,8.51318517,30,8.126152883,11.02129155,30,33.32727273
KLKE_32,KLKE,11,18.63750076,75.14003754,34.38863754,1114,93.10356903,1693.314819,4,0.050201376,0.933878794,0.01591983,31,7962,8.982561092,31,3.903970399,5.306890825,31,45.20689655
KLKE_33,KLKE,11,19.34166718,79.16707611,34.43568039,1215,99.16461945,11205.75977,4,0,0.982496195,0.017503805,32,20429,9.924759688,32,2.64726361,3.462716519,32,42.74137931
KLKE_34,KLKE,11,15.9958334,63.26200867,26.37398148,698,52.76150894,1555.907349,4,0.138123474,0.84294638,0.018930146,33,557,6.324358962,33,11.39676696,15.59340538,33,35.46551724
KLKE_35,KLKE,11,16.95000076,71.57323456,29.58596802,811,63.11516571,1249.062378,4,0.005930295,0.990676434,0.003393271,34,567,6.342121419,34,2.702943093,3.503698516,34,32.96491228
KLKE_36,KLKE,11,16.22916603,66.9958725,29.38154602,777,57.67858124,2184.546875,4,0.157582675,0.814451948,0.027965376,35,1158,7.055312843,35,11.1192643,15.45386418,35,32.98275862
KLKE_37,KLKE,11,16.37916756,67.97253418,31.08858681,819,59.70833969,1093.408203,4,0.005961441,0.991977423,0.002061136,36,1629,7.396335294,36,4.9151918,6.566366165,36,32.14545455
KLKE_38,KLKE,11,16.67083359,63.79863739,29.06941032,713,55.34074783,2187.950439,4,0.014939102,0.982872367,0.002188531,37,1186,7.079184395,37,9.625282406,12.89835765,37,32.31034483
KLKE_39,KLKE,11,18.85416603,76.55831146,33.66662216,1208,96.45303345,7938.133789,4,0.102546216,0.88188477,0.015569014,38,15082,9.621323561,38,4.677861755,6.355818292,38,35.46428571
KLKE_40,KLKE,11,16.50833321,67.51543427,30.49256134,850,63.61156464,2160.571289,4,0.042337942,0.942534568,0.01512749,39,4103,8.319717387,39,4.443289679,6.055612235,39,36.625
KLKE_41,KLKE,11,18.16666603,71.77405548,33.67879105,1065,88.16912842,2361.856689,4,0.037927317,0.898997907,0.063074776,40,8552,9.054037378,40,3.094334743,4.125451303,40,38.56896552
KLKE_42,KLKE,2,16.6875,65.68260956,30.37634277,890,69.43458557,1256.980469,4,0.756103748,0.22677405,0.017122202,41,6435,8.769662508,41,12.32134975,16.87666583,41,36.36842105
KLKE_43,KLKE,2,15.6291666,58.75442886,25.17369461,683,50.25001526,1942.331787,4,0.439596677,0.551556852,0.008846471,42,1832,7.513709248,42,12.52269931,17.23972721,42,36.48275862
KLKE_44,KLKE,11,15.7541666,64.4366684,24.92845345,744,52.06296539,3495.118652,4,0.209004439,0.778281547,0.012714014,43,929,6.835184586,43,10.31265478,14.356607,43,35.71428571
KLKE_45,KLKE,11,18.73333359,77.52809906,33.0328064,1201,94.89285278,7261.052246,4,0.193776565,0.780213157,0.026010277,44,16009,9.680968806,44,2.589963304,3.430280168,44,34.03448276
KLKE_46,KLKE,11,17.40416718,68.43902588,31.42604065,1006,79.64942932,2014.422119,4,0.34962263,0.569797679,0.080579692,45,8698,9.070963356,45,11.25066626,15.54678308,45,32.72413793
KLKE_47,KLKE,11,18.34166718,75.73377991,33.33887482,1166,92.24279785,4521.422852,4,0.163653663,0.681319378,0.155026958,46,16027,9.682092472,46,3.922987093,5.188163359,46,36.94736842
KLKE_48,KLKE,11,16.54583359,72.72171021,28.35292053,820,59.64674759,1596.817749,4,3.17E-05,0.999841436,0.000126851,47,1441,7.273786318,47,5.224228616,7.24179111,47,33.75862069
KLKE_49,KLKE,11,18.66666603,78.51846313,34.07361984,1246,95.80038452,8999.541016,4,0.100171233,0.873985287,0.02584348,48,20663,9.936148335,48,2.430052469,3.194258253,48,37.18965517
KLKE_50,KLKE,11,15.42500019,61.73624802,23.21864891,727,50.08029175,3451.197998,4,0.257706457,0.728973741,0.013319802,49,2410,7.787796878,49,9.191726017,12.74897748,49,35.65517241
KLKE_51,KLKE,11,16.09166718,68.65041351,24.14428711,794,53.87863159,398.4270325,4,0.289053086,0.675397983,0.035548931,50,5006,8.518592212,50,4.364428048,5.973648848,50,35.98214286
KLKE_52,KLKE,2,17.34166718,73.20063782,31.39627266,1087,83.66802216,1779.730591,4,0.441071995,0.546622265,0.012305741,51,13650,9.521568058,51,8.087018977,10.91132814,51,34.80701754
KLKE_53,KLKE,2,16.85000038,64.84247589,27.97820282,767,58.07951736,1464.761353,NA,0.134092206,0.843490393,0.022417401,52,4635,8.441607204,52,2.735995723,3.652650992,52,35.83928571
KLKE_54,KLKE,11,17.53333282,77.44010162,31.37491989,1161,87.28155518,5148.088867,4,0.014871421,0.970193741,0.014934838,53,17410,9.764857469,53,5.812846566,7.837148087,53,32.51724138
KLKE_55,KLKE,11,17.88333321,79.89575958,32.26531982,1229,91.35288239,5815.91748,4,0.003107461,0.98928243,0.007610109,54,21984,9.998115682,54,3.917504172,5.055117329,54,33.6
KLKE_56,KLKE,11,16.02499962,67.73947906,26.62919235,791,54.0259285,1494.931152,4,0.077920842,0.913801852,0.008277306,55,5840,8.672657294,55,7.717192571,10.53240257,55,36.05454545
KLKE_57,KLKE,2,15.85833359,62.2616806,23.48448563,731,51.27450562,249.0168915,4,0.467431978,0.516775544,0.015792478,56,6951,8.846784667,56,10.49176863,14.28423899,56,36.96551724
KLKE_58,KLKE,11,16.15833282,68.68348694,25.77223396,796,56.57876587,2127.601318,4,0,1,0,57,12953,9.4691599,57,5.415186651,7.426854167,57,34.36206897
KLKE_59,KLKE,2,16.41250038,65.64798737,26.79273224,776,56.44548798,1450.296265,4,0.280558199,0.700412306,0.019029496,58,10544,9.263407093,58,4.030405785,5.468242741,58,35.53448276
KLKE_60,KLKE,11,15.89583302,68.47224426,26.73855209,800,55.64738464,334.091217,4,0.020927799,0.975298855,0.003773346,59,30623,10.32953929,59,6.838437957,9.377008731,59,36
KLKE_61,KLKE,11,18.45000076,74.62026978,34.48426056,1121,91.29412842,1877.395874,4,0.126748501,0.85152409,0.021727408,60,11059,9.311090275,60,4.063612677,5.381005518,60,42.27586207
OMC01,KMM,11,19.58749962,79.29016113,33.44794464,969,45.60016251,7229.728516,6,0,0.999746314,0.000253686,61,12200,9.409273195,61,3.333085618,4.381732112,61,29.19298246
OMC02,KMM,5,19.42499924,80.01421356,33.47344971,965,45.16054916,7990.455078,6,6.34E-05,0.962735086,0.037201484,62,12823,9.459073694,62,3.942001617,5.221359088,62,30.4
OMC03,KMM,11,19.86249924,78.65705109,33.09873581,991,44.01650238,6308.537109,6,0.00114148,0.998129241,0.000729279,63,7489,8.921324077,63,3.272732094,4.210312486,63,27.56896552
OMC04,KMM,11,19.61666679,80.462677,32.84195709,992,44.05195999,7638.773438,6,0,0.998002536,0.001997464,64,8900,9.093918909,64,3.334303721,4.403096422,64,28.43103448
OMC05,KMM,11,19.22916603,80.15490723,32.8690834,985,45.78457642,10068.16895,6,0,1,0,65,10369,9.246672301,65,4.425987737,5.857058226,65,29.06896552
OMC06,KMM,11,19.52916718,80.83255005,32.60085678,980,45.42724991,9310.967773,6,0.000570758,0.998921901,0.000507341,66,10509,9.260082464,66,3.548034225,4.631807102,66,29.56140351
OMC07,KMM,11,19.10416603,79.32837677,33.18574524,977,46.41805649,10746.57227,6,0,1,0,67,9574,9.166910814,67,3.303871752,4.259786077,67,29.18965517
OMC09,KMM,11,19.82083321,79.44290924,32.93251801,1023,42.7833786,8001.157227,6,0.00352001,0.995528636,0.000951354,68,6773,8.820847033,68,3.491413347,4.555742674,68,28.21428571
OMC10,KMM,11,19.6875,79.88983917,32.63289261,988,43.77296829,8874.789063,6,0,1,0,69,7689,8.947676062,69,3.704457163,4.792587084,69,27.15517241
OMC11,KMM,11,19.40833282,79.93844604,32.28667068,990,44.72143173,10349.16113,6,0,1,0,70,8600,9.059633755,70,4.295492144,5.757159559,70,29.25
OMC12,KMM,11,19.24166679,80.19387817,32.58807373,987,45.2070961,11847.0293,6,0,1,0,71,8898,9.09369419,71,4.916198101,6.721388575,71,29.14035088
OMC13,KMM,11,19.07500076,79.70114136,32.98884964,982,46.01607132,12473.53418,6,0,1,0,72,8873,9.090880932,72,2.912788325,3.790201206,72,29.20689655
OMC15,KMM,11,19.69583321,77.59036255,33.07461166,1059,42.31116486,9650.681641,6,0.045820649,0.947393455,0.006785895,73,6461,8.773694146,73,3.49366571,4.593049226,73,26.25862069
OMC16,KMM,11,19.63750076,79.29016876,32.97666168,991,43.75854492,10749.80273,6,0.003045009,0.993592793,0.003362197,74,7919,8.977146485,74,3.282471383,4.255937597,74,27.60714286
OMC17,KMM,11,19.52083397,79.35702515,32.55534363,986,44.25002289,11833.51758,6,0,1,0,75,8507,9.048762176,75,3.385334468,4.370515946,75,28.50877193
OMC18,KMM,11,19.07916641,80.01301575,32.29405212,993,44.55776596,12938.33789,6,0,1,0,76,9220,9.129238771,76,4.253495036,5.729878304,76,30.4137931
OMC19,KMM,11,19.01666641,79.55368042,32.66998291,989,44.87966156,12538.19238,6,0.008307965,0.989472349,0.002219685,77,9561,9.165552189,77,2.893267331,3.706769482,77,31.44827586
OMC21,KMM,11,19.58333397,77.61599731,33.4180069,1047,42.35189819,11392.89648,6,0,1,0,78,7383,8.907070776,78,3.329718992,4.313907797,78,25.74137931
OMC22,KMM,11,19.48333359,79.61079407,33.57542038,1049,41.98868179,12431.70508,6,0,1,0,79,8877,9.091331585,79,3.548603847,4.56825198,79,26.35087719
OMC23,KMM,11,19.35416603,80.23994446,32.96886444,1031,43.78181076,11472.62695,6,0,0.99993658,6.34E-05,80,9903,9.200693995,80,4.336890666,5.727788901,80,27.98181818
OMC24,KMM,11,18.97916603,80.32487488,32.17995071,1009,45.12214661,11055.56543,6,0.001173821,0.996764062,0.002062117,81,10607,9.269363712,81,4.045371779,5.386217642,81,30.51724138
OMC25,KMM,11,19.01666641,79.181427,32.28141403,987,45.27088547,10704.36621,6,0.003360918,0.995656172,0.00098291,82,10658,9.274159885,82,2.812454361,3.61638566,82,31.36206897
OMC26,KMM,11,18.97500038,79.55844116,32.43408585,982,45.93826675,10224.25879,6,9.51E-05,0.985666265,0.0142386,83,11812,9.376955899,83,3.287223621,4.239803692,83,29.68965517
OMC27,KMM,11,19.36249924,79.8898468,33.39595795,1036,42.22221756,10866.38477,6,0,1,0,84,9835,9.193804403,84,3.601324027,4.618288377,84,27.71929825
OMC28,KMM,11,19.19166756,78.82180786,32.768013,1023,43.60666275,9754.599609,6,6.34E-05,0.999651192,0.000285388,85,10614,9.270023374,85,5.614763883,7.515406684,85,29.05172414
OMC29,KMM,11,19.09583282,79.24237823,31.92027283,998,44.44041824,8914.943359,6,0.000475677,0.991723219,0.007801104,86,11912,9.38538552,86,4.514558446,6.035376603,86,31.82142857
OMC30,KMM,11,18.98333359,79.41072083,32.09648132,1000,45.09709549,8178.831055,6,0.001141516,0.998192599,0.000665885,87,12851,9.46125472,87,2.872641463,3.703952734,87,30.77586207
OMC31,KMM,11,18.92083359,79.27108002,32.33681107,987,45.58274078,8437.962891,6,0,0.960588478,0.039411522,88,13557,9.514732058,88,3.055810508,3.903879392,88,31.76785714
OMC32,KMM,11,19.02083397,77.88272858,32.73999405,1035,44.28478622,7902.432617,6,0,1,0,89,13155,9.484633207,89,3.694014431,4.740039575,89,29.68421053
OMC33,KMM,11,19.00416565,78.49314117,32.71380234,1016,45.67696381,6839.039063,6,0.004312532,0.994355657,0.001331811,90,13873,9.537771864,90,3.070150367,4.002780483,90,31.25
OMC34,KMM,11,18.89583397,79.07012939,32.81232834,1017,45.05944824,6309.913086,6,0.005042497,0.992166688,0.002790816,91,15334,9.637893077,91,2.996037903,3.834779435,91,31.17241379
OMC36,KMM,11,18.97500038,77.76712799,32.76379395,1039,43.685215,6498.529785,6,0.000190271,0.999524323,0.000285406,92,13345,9.498971993,92,3.406728623,4.33396308,92,28.85714286
OMC37,KMM,11,18.95416641,78.08673096,32.80176926,1026,44.89496613,5529.072266,6,0,1,0,93,14740,9.598388006,93,3.417151168,4.408205475,93,28.75862069
OMC38,KMM,11,18.87916756,79.01262665,32.84118271,1014,45.13991928,4426.901367,6,0.000761252,0.99698671,0.002252038,94,16794,9.728836502,94,3.066793819,3.984552499,94,31.05357143
NB49,KMM,11,18.41666603,83.70223236,31.72636032,913,50.66095352,5305.404297,NA,0.026322466,0.95344412,0.020233414,95,9852,9.195531256,95,2.880742682,3.721701843,95,26.65454545
NB47,KMM,11,18.57500076,86.19480896,32.7502594,895,51.48740387,7823.095215,6,0.029521816,0.96334348,0.007134703,96,8914,9.09549053,96,2.973922674,3.862638125,96,27.87719298
NB46,KMM,11,18.57083321,84.38165283,32.87257004,905,50.54236221,6536.396973,6,0,1,0,97,9179,9.124782484,97,2.921230467,3.81990567,97,28.10344828
NB44,KMM,11,18.70000076,83.99133301,33.08118439,904,51.06370163,8601.433594,6,0,1,0,98,8786,9.081028635,98,3.164013109,4.204952559,98,28.81355932
NB37,KMM,11,18.78750038,83.47905731,33.75674057,906,50.06413269,7661.46875,6,0,0.999904874,9.51E-05,99,9188,9.125762396,99,2.972332474,3.851958542,99,28.33928571
NB38,KMM,11,18.87083435,84.70425415,33.50338745,888,50.99098587,7642.181641,6,0.005010147,0.992167681,0.002822171,100,9689,9.178849705,100,2.943215969,3.876953658,100,28.9122807
NB20,KMM,11,19.11666679,85.55522156,33.19636536,887,51.31499481,3237.219482,6,0.000634196,0.998636479,0.000729325,101,12424,9.427465851,101,3.578383094,4.786844533,101,29.41071429
NB19,KMM,11,19.32083321,85.55854034,33.23073578,888,51.05117416,3340.169678,6,0.008434002,0.988205079,0.003360918,102,12792,9.456653425,102,3.608579841,4.917103177,102,30.05454545
NB12,KMM,11,19.34166718,85.75421906,33.37540436,870,51.77386475,1436.549072,6,0.048328788,0.943965244,0.007705968,103,13687,9.524274816,103,3.322525725,4.430126447,103,27.89655172
NB11,KMM,11,19.41666603,84.64722443,33.46158981,880,51.28602219,1454.565552,6,0,1,0,104,14652,9.592400372,104,3.455594254,4.555487834,104,27.89285714
NB28,KMM,11,19,83.50286102,33.34656906,930,49.8445816,5499.384766,6,0,1,0,105,9910,9.20140053,105,3.668167971,4.850394087,105,29.46551724
NB35,KMM,11,19.00833321,81.12373352,33.5025177,926,50.70194244,7945.628906,6,0,1,0,106,7997,8.986946789,106,2.858076277,3.833209607,106,29.58928571
NB34,KMM,11,18.92499924,81.36617279,33.37572861,934,50.01939011,8744.003906,6,0,1,0,107,7940,8.979794491,107,3.237631918,4.170763787,107,28.19642857
NB26,KMM,11,19.07500076,82.64105225,33.23326874,925,50.09555435,6976.029297,6,0.004312395,0.994038748,0.001648857,108,9406,9.149209372,108,3.508796498,4.574905061,108,29
NB27,KMM,11,19.07083321,83.29733276,33.24578476,919,49.93983841,6202.070313,6,0,1,0,109,9191,9.12608882,109,3.310148299,4.351827015,109,30.36363636
NB18,KMM,11,19.14583397,85.07904816,33.04672241,916,50.66209793,4402.179199,6,0,0.999714594,0.000285406,110,12433,9.428189935,110,3.769763006,4.868746439,110,31.23636364
NB17,KMM,11,19.19583321,83.0787735,33.14314651,918,50.00577164,5718.720703,6,0.015063106,0.980941206,0.003995687,111,13109,9.481130577,111,3.572077272,4.681397698,111,31.98181818
NB09,KMM,11,19.32083321,82.9692688,33.10951233,907,50.88825226,3625.740723,6,0.025373466,0.97307241,0.001554125,112,15521,9.650013651,112,3.838194777,5.102143731,112,31.05454545
NB10,KMM,11,19.41250038,84.23790741,33.1672554,900,51.15451431,3215.308594,6,0.009641305,0.988994957,0.001363737,113,15083,9.621389858,113,3.5127742,4.62228628,113,28.76363636
NB05,KMM,11,19.5,83.93721008,33.12389755,885,51.35554123,1694.047119,6,0.003330056,0.994227903,0.002442041,114,18552,9.82838678,114,3.954275156,5.235455644,114,28.51785714
NB04,KMM,2,19.42499924,83.59807587,32.83178329,894,50.31052399,1837.333008,6,0.008783334,0.989219013,0.001997654,115,19580,9.882314987,115,3.974753539,5.394350109,115,28.74074074
NB01,KMM,11,19.6875,83.50624847,33.12352753,896,50.25292587,1942.331787,6,0.156304493,0.821787515,0.021907993,116,20729,9.939337205,116,3.638075154,4.849489334,116,26.87272727
NB06,KMM,11,19.40416718,82.36446381,33.36976624,932,47.85697556,3491.923584,NA,0.12205486,0.863136198,0.014808942,117,15959,9.677840871,117,5.342200497,7.127756585,117,27.85454545
NB30,KMM,11,19.35833359,81.06768799,33.62564087,946,46.19961929,8881.913086,6,0,1,0,118,14232,9.563318491,118,3.618583935,4.823142687,118,29.86206897
NB21,KMM,11,19.42916679,81.30914307,33.81342697,955,45.85710526,5930.57666,6,0,1,0,119,13879,9.538204234,119,3.358037288,4.38098901,119,28.92857143
NB22,KMM,11,19.54583359,81.89401245,33.70062637,933,46.68246841,7116.831055,6,0.012969305,0.984018265,0.00301243,120,14760,9.599743847,120,3.97260957,5.300610359,120,29.65517241
NB50,KMM,11,18.35833359,85.3557663,32.13196564,903,50.9718399,6653.738281,6,0.002220037,0.996416225,0.001363737,121,9416,9.150271846,121,3.080733375,4.072055201,121,27.46551724
NB43,KMM,11,18.64583397,82.69490051,33.2507782,919,50.14205551,7853.789063,6,0,1,0,122,8340,9.028938392,122,3.469687397,4.472112605,122,28.20689655
NB42,KMM,11,18.75833321,81.95989227,33.36546707,922,50.0511322,7571.587891,6,0,1,0,123,8138,9.004422601,123,3.252716772,4.26184538,123,28.37931034
NB36,KMM,11,18.88333321,82.88362885,33.66462708,912,49.62639618,7410.166992,6,0,1,0,124,8168,9.008101781,124,2.878057272,3.781197149,124,28.84210526
NB29,KMM,11,18.9375,84.45345306,33.51551819,904,50.76031876,5437.470703,6,0,1,0,125,10837,9.290813756,125,3.480979118,4.513487771,125,29.40350877
NB16,KMM,11,18.89166641,83.28029633,33.41239548,946,48.53050995,6437.170898,6,0,1,0,126,13639,9.520761931,126,3.560895898,4.592898113,126,32.43636364
NB08,KMM,11,19.10833359,83.38937378,33.09358215,928,48.700634,4559.389648,6,0,1,0,127,15350,9.638935897,127,3.671665004,4.828198541,127,30.51851852
NB03,KMM,11,19.48333359,82.77388763,32.95172119,907,49.41398621,2965.706299,6,0.083938481,0.902108768,0.013952751,128,19121,9.858594784,128,4.444463001,5.983430396,128,27.61818182
NB07,KMM,11,19.20833397,82.78759003,33.08325195,930,48.35428238,3897.730957,6,0.148877473,0.836979959,0.014142567,129,16923,9.736488012,129,5.779283605,7.69284136,129,31.375
NB15,KMM,10,19.05416679,80.97301483,33.42660904,940,47.68255615,5986.771973,6,0.004534644,0.993372443,0.002092913,130,16818,9.730264479,130,4.101843071,5.433813093,130,30.76785714
NB14,KMM,11,19.35833359,81.09573364,33.53200912,933,47.71668625,5730.852051,6,0.008180608,0.98814129,0.003678103,131,16240,9.695294188,131,3.971246606,5.24291023,131,30.74545455
NB23,KMM,11,19.35000038,82.32420349,33.57212067,932,47.31674957,7672.307129,6,0.000539066,0.999112126,0.000348808,132,16012,9.681156171,132,3.523026563,4.669430706,132,29.24137931
NB24,KMM,11,19.03750038,82.60323334,33.42750549,949,48.23118591,7865.308105,6,0,1,0,133,14996,9.61560546,133,3.151734805,4.035429275,133,29.72413793
NB25,KMM,11,19.02499962,81.70066833,33.33276367,941,48.87258148,8213.331055,6,0.005041537,0.993912106,0.001046357,134,11976,9.390743423,134,3.435913543,4.474590187,134,30.44642857
NB33,KMM,11,18.95000076,81.1003952,33.13446426,952,48.6168251,9939.985352,6,0.001680672,0.996765499,0.001553829,135,8778,9.080117785,135,2.906014953,3.730554035,135,29.2
NB31,KMM,11,19.24166679,81.03964233,33.44519043,943,47.04445648,9880.919922,6,0,1,0,136,13055,9.477003077,136,3.579694793,4.750672688,136,30.27586207
NB32,KMM,11,18.95833397,81.95990753,33.01842117,960,47.05218887,10062.99414,6,0.000824533,0.99819237,0.000983097,137,10101,9.220488703,137,3.975906836,5.246853493,137,29.82142857
NB41,KMM,11,18.83333397,80.15137482,33.1179657,963,47.1216011,10565.83105,6,0,1,0,138,8721,9.073603848,138,3.159485839,4.10976053,138,28.05172414
NB40,KMM,11,19.03333282,80.15135956,33.25403214,962,46.50030899,11658.35254,6,0,1,0,139,8916,9.095714846,139,3.315913072,4.420008217,139,29.9137931
NB45,KMM,11,18.97500038,80.66484833,33.34083557,972,46.65548706,10898.63574,6,0,1,0,140,9387,9.147187557,140,3.311064284,4.27872282,140,30.22413793
NB48,KMM,11,18.95416641,79.12758636,32.99591827,976,46.78681946,9956.69043,6,0,0.968225781,0.031774219,141,10049,9.215327913,141,3.167745135,4.066578951,141,30.72881356
NB39,KMM,11,19.11249924,79.71896362,33.30196381,968,46.68950653,10693.23926,6,0,1,0,142,9546,9.163982248,142,3.148711757,4.030116302,142,29.74137931
MN02,KMM,11,19.71666718,78.14128876,33.6982193,1056,40.8250618,7872.873535,6,0,1,0,143,5557,8.62299361,143,3.31774537,4.280692916,143,28.50909091
MN04,KMM,11,19.67499924,78.98503876,33.30569458,1080,41.96018219,11457.4834,6,0.04543581,0.949205745,0.005358445,144,6657,8.803574418,144,3.641230111,4.909400711,144,28.19642857
MN05,KMM,11,19.66666603,76.13782501,33.50624847,1083,40.31470108,5695.250977,6,0,1,0,145,8948,9.099297073,145,3.064192589,3.923884953,145,29.94915254
MN06,KMM,11,19.57916641,76.3204422,33.62291718,1071,40.88443375,7633.088867,6,0,1,0,146,8724,9.073947747,146,3.341895417,4.250217489,146,28.34482759
MN07,KMM,11,19.48333359,79.15270233,33.62688446,1069,41.38814545,9572.748047,6,0,1,0,147,7824,8.965079015,147,3.333345399,4.305867145,147,26.53448276
MN08,KMM,11,19.59583282,77.76593018,33.31752777,1064,41.82144928,11264.48535,6,0.019816107,0.978123018,0.002060875,148,7369,8.905172985,148,3.663585136,4.766722316,148,27.52631579
MN09,KMM,2,19.51666641,78.3155899,32.89255524,1030,42.5064888,11847.86719,NA,0.048259243,0.947396791,0.004343966,149,8444,9.041329829,149,3.322313057,4.314012631,149,27.17241379
